step,ppl,gN,bleu
100,568.51,21.43,0
200,269.03,14.45,0
300,178.01,12.43,0
400,151.52,10.67,0
500,135.2,10.29,0
600,124.38,9.41,1.18
700,113,9.07,1.18
800,105.87,8.21,1.18
900,101.63,10.08,1.18
1000,98.2,8.95,1.18
1100,88.46,7.77,1.18
1200,82.03,8.01,1.18
1300,83.44,8.93,1.18
1400,79.1,7.57,1.18
1500,75.12,7.09,1.18
1600,77.73,9.56,1.2
1700,73.71,7.42,1.2
1800,70.3,7.62,1.2
1900,72.52,8.25,1.2
2000,69.48,7.89,1.2
2100,66.45,7.44,1.49
2200,60.7,8.24,1.49
2300,59.21,8.19,1.49
2400,58.9,7.86,1.49
2500,57.38,6.57,1.49
2600,58.08,10.14,1.83
2700,57.23,6.4,1.83
2800,56.26,9.07,1.83
2900,55.14,9.09,1.83
3000,55.08,8.8,1.83
3100,52.95,7.72,2.14
3200,48.02,8.88,2.14
3300,45.63,9.03,2.14
3400,45.47,7.6,2.14
3500,45.61,6.89,2.14
3600,45.64,9.45,2.31
3700,45.22,9.28,2.31
3800,45.49,7.68,2.31
3900,45.11,8.5,2.31
4000,43.91,8.27,2.31
4100,43.61,8.44,2.79
4200,40.71,8.51,2.79
4300,36.11,5.77,2.79
4400,36.94,8.66,2.79
4500,35.96,8.53,2.79
4600,38.81,8.5,3.05
4700,36.69,6.81,3.05
4800,36.78,9.78,3.05
4900,36.09,9.09,3.05
5000,36.35,10.17,3.05
5100,35.46,6.39,3.48
5200,36.09,8.35,3.48
5300,29.82,6.51,3.48
5400,29.91,9.4,3.48
5500,29.59,8.39,3.48
5600,29.69,7.27,3.66
5700,30.04,11.27,3.66
5800,30.09,9.58,3.66
5900,29.73,8.97,3.66
6000,30.06,11.13,3.66
6100,30.13,7.93,3.87
6200,29.97,9.58,3.87
6300,27.39,9.56,3.87
6400,24.63,7.39,3.87
6500,24.82,10.4,3.87
6600,25.13,9.34,4.52
6700,24.68,7.84,4.52
6800,25.07,9.62,4.52
6900,25.45,9.98,4.52
7000,26.21,10.58,4.52
7100,25.14,9.61,4.52
7200,25.75,9.18,4.52
7300,25.25,8.34,4.52
7400,20.91,10.91,4.52
7500,20.96,9,4.52
7600,21.29,9.72,4.63
7700,21.48,12.34,4.63
7800,21.83,12.21,4.63
7900,21.71,9.91,4.63
8000,21.85,7.91,4.63
8100,21.8,9.54,4.82
8200,22.38,12.89,4.82
8300,22.22,12.15,4.82
8400,19.33,7.27,4.82
8500,17.67,7.49,4.82
8600,18.26,9.49,5.04
8700,18.44,8.96,5.04
8800,18.71,13.19,5.04
8900,19.14,12.33,5.04
9000,18.84,7.29,5.04
9100,19.11,10.98,5.39
9200,19.58,12.23,5.39
9300,19.33,7.5,5.39
9400,19.11,11.62,5.39
9500,15.93,12.34,5.39
9600,15.63,7.89,5.4
9700,15.94,9.85,5.4
9800,16.85,13.52,5.4
9900,16.72,10.31,5.4
10000,16.79,10.89,5.4
10100,16.91,10.57,5.4
10200,16.93,9.12,5.4
10300,17.04,7.97,5.4
10400,17.63,10.39,5.4
10500,14.62,12.68,5.4
10600,13.98,7.98,5.7
10700,14.3,11.9,5.7
10800,14.53,11.55,5.7
10900,14.98,12.01,5.7
11000,14.78,8.06,5.7
11100,15.02,8.26,5.7
11200,15.06,10.52,5.7
11300,15.56,12.79,5.7
11400,15.09,9.72,5.7
11500,14.26,9.48,5.7
11600,12.48,11.25,5.7
11700,12.9,11.56,5.7
11800,13.29,11.63,5.7
11900,13.4,7.74,5.7
12000,13.29,10.28,5.7
12100,13.43,9.31,5.88
12200,13.76,12.93,5.88
12300,13.74,9.12,5.88
12400,13.79,10.92,5.88
12500,13.94,9.71,5.88
12600,11.44,12.16,5.88
12700,11.48,10.79,5.88
12800,11.79,11.45,5.88
12900,11.64,8.49,5.88
13000,12.1,13.67,5.88
13100,12.24,8.57,5.88
13200,12.21,8.89,5.88
13300,12.47,11.83,5.88
13400,12.66,10.82,5.88
13500,12.67,10.83,5.88
13600,11.53,10.88,5.88
13700,10.22,8.58,5.88
13800,10.95,14.5,5.88
13900,10.79,12.85,5.88
14000,10.75,8.49,5.88
14100,11.24,13.96,5.98
14200,11.17,11.02,5.98
14300,11.2,9.81,5.98
14400,11.48,11.86,5.98
14500,11.73,11.61,5.98
14600,12.11,13.28,5.98
14700,9.57,11.73,5.98
14800,9.57,9.11,5.98
14900,9.9,12.29,5.98
15000,9.9,9.17,5.98
15100,9.96,8.82,5.98
15200,10.25,10.77,5.98
15300,10.8,9.75,5.98
15400,10.54,9.8,5.98
15500,10.62,9.43,5.98
15600,10.96,15.49,5.98
15700,9.62,13.42,5.98
15800,8.91,11.34,5.98
15900,8.97,11.34,5.98
16000,9.28,13.36,5.98
16100,9.41,10.62,5.98
16200,9.54,11.63,5.98
16300,9.57,12.99,5.98
16400,9.81,10.4,5.98
16500,9.82,9.65,5.98
16600,9.9,13.43,5.98
16700,9.69,11.04,5.98
16800,8.19,12.69,5.98
16900,8.49,16.38,5.98
17000,8.64,9.89,5.98
17100,8.6,9.28,5.98
17200,8.77,14.68,5.98
17300,8.99,10.19,5.98
17400,9.25,16.08,5.98
17500,9.11,10.12,5.98
17600,9.44,14.04,5.98
17700,9.3,9.38,5.98
17800,8.06,12.18,5.98
17900,7.71,8.96,5.98
18000,8.1,14.79,5.98
18100,8.08,11.74,5.98
18200,8.22,12.73,5.98
18300,8.18,10.15,5.98
18400,8.43,11.29,5.98
18500,8.63,13.44,5.98
18600,8.56,9.92,5.98
18700,8.87,11.38,5.98
18800,8.78,15.29,5.98
18900,7.32,11.91,5.98
19000,7.51,13.09,5.98
19100,7.55,12.16,6.11
19200,7.76,14.99,6.11
19300,7.82,9.73,6.11
19400,7.89,11.35,6.11
19500,8.08,10.85,6.11
19600,8.05,11.47,6.11
19700,8.41,14.58,6.11
19800,8.52,15.83,6.11
19900,7.05,12.38,6.11
20000,7.1,11.66,6.11
20100,7.17,10.18,6.14
20200,7.32,12.29,6.14
20300,7.29,9.83,6.14
20400,7.57,15.8,6.14
20500,7.63,10.19,6.14
20600,7.63,12.4,6.14
20700,7.94,16.25,6.14
20800,7.91,9.47,6.14
20900,7.21,9.66,6.14
21000,6.6,14.12,6.14
21100,6.8,15.95,6.14
21200,6.97,13.46,6.14
21300,7.02,10.4,6.14
21400,7.17,12.34,6.14
21500,7.13,9.42,6.14
21600,7.27,12.02,6.14
21700,7.58,19.26,6.14
21800,7.49,10.15,6.14
21900,7.5,9.48,6.14
22000,6.28,10.06,6.14
22100,6.46,15.32,6.14
22200,6.39,10.36,6.14
22300,6.78,14.71,6.14
22400,6.75,15.31,6.14
22500,6.76,12.63,6.14
22600,6.67,10.52,6.14
22700,6.63,8.92,6.14
22800,6.66,9.05,6.14
22900,6.6,9.29,6.14
23000,5.99,8.96,6.14
23100,5.59,10.84,6.14
23200,5.68,9.04,6.14
23300,5.69,11.23,6.14
23400,5.76,13.43,6.14
23500,5.83,9.85,6.14
23600,5.79,10.42,6.14
23700,5.88,10.08,6.14
23800,5.94,11.62,6.14
23900,6,9.76,6.14
24000,5.9,10.35,6.14
24100,5.39,13.83,6.14
24200,5.46,9.77,6.14
24300,5.51,20.78,6.14
24400,5.56,13.63,6.14
24500,5.61,9.46,6.14
24600,5.63,9.62,6.14
24700,5.7,12.06,6.14
24800,5.71,10.14,6.14
24900,5.75,9.78,6.14
25000,5.79,10.14,6.14
25100,5.33,9.81,6.14
25200,5.07,8.92,6.14
25300,5.09,8.9,6.14
25400,5.13,9.23,6.14
25500,5.17,9.26,6.14
25600,5.19,9.45,6.3
25700,5.2,9.24,6.3
25800,5.23,9.4,6.3
25900,5.3,9.55,6.3
26000,5.18,8.9,6.3
26100,5.19,9.68,6.3
26200,4.92,9.47,6.3
26300,4.98,9.38,6.3
26400,5.03,9.25,6.3
26500,5.06,10.61,6.3
26600,4.97,9.87,6.3
26700,5.16,13.82,6.3
26800,5.04,11.52,6.3
26900,5.12,9.76,6.3
27000,5.17,9.92,6.3
27100,5.23,10.01,6.3
27200,4.89,10.41,6.3
27300,4.83,9.65,6.3
27400,4.92,9.96,6.3
27500,4.93,10.19,6.3
27600,4.9,9.2,6.3
27700,4.96,9.19,6.3
27800,4.95,9.12,6.3
27900,4.89,9.19,6.3
28000,4.98,9.5,6.3
28100,4.97,9.19,6.3
28200,4.83,9.26,6.3
28300,4.78,9.25,6.3
28400,4.73,9.27,6.3
28500,4.82,9.2,6.3
28600,4.76,9.4,6.3
28700,4.74,9.19,6.3
28800,4.8,9.33,6.3
28900,4.84,9.61,6.3
29000,4.83,9.31,6.3
29100,4.84,9.27,6.3
29200,4.77,9.55,6.3
29300,4.67,9.37,6.3
29400,4.67,9.53,6.3
29500,4.7,9.16,6.3
29600,4.77,10.02,6.3
29700,4.77,9.67,6.3
29800,4.76,9.41,6.3
29900,4.74,9.3,6.3
30000,4.78,9.76,6.3